05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: miner.py: user details mined successfully
05/15/2018 08:28:44: INFO: server.py: tweets request received
05/15/2018 08:28:44: INFO: server.py: tweets request received
